5prime	3prime	strand	count	sgRNA_ref
61	27883	True	8839	8
61	28249	True	12282	N
59	28247	True	58	N
61	28261	True	17278	N
62	28262	True	20	N
61	27378	True	1027	7a
61	26464	True	299	M
67	28261	True	54461	N
66	28260	True	286	N
67	3994	True	83	non-canonical
4005	28273	True	95	N
66	27754	True	1002	7b
61	27037	True	595	6
55	27876	True	2596	8
55	28249	True	14229	N
65	28259	True	5	N
54	28248	True	77	N
56	28250	True	12	N
67	21052	True	11	non-canonical
60	26463	True	2	M
59	27881	True	49	8
62	25378	True	95	3a
68	28262	True	71	N
64	27752	True	2	7b
53	27874	True	1	8
61	26234	True	64	E
60	28260	True	81	N
64	21552	True	16	S
58	28258	True	1	N
55	21549	True	17	S
63	28251	True	17	N
61	22496	True	16	non-canonical
71	28265	True	1	N
66	22495	True	12	non-canonical
54	27875	True	10	8
62	2558	True	1	non-canonical
2569	28268	True	9	N
62	27884	True	4	8
62	27379	True	2	7a
58	28246	True	2	N
57	25373	True	1	3a
60	27377	True	8	7a
56	27877	True	6	8
59	28259	True	1	N
62	26235	True	1	E
70	28264	True	1	N
55	27800	True	1	non-canonical
27811	28261	True	1	N
60	21548	True	1	S
58	27880	True	1	8
60	27036	True	1	6
62	19593	True	1	non-canonical
19604	28268	True	1	N
63	26466	True	1	M
67	28261	False	4	N
2662	29089	True	2	non-canonical
10430	28261	True	2	N
12911	27883	True	1	8
12911	28249	True	1	N
14176	29572	True	10	non-canonical
14412	29372	True	2	non-canonical
14469	28255	True	4	N
18354	28498	True	11	non-canonical
28519	28571	True	51727	non-canonical
18973	28261	True	1	N
19525	28261	True	1	N
21733	21777	True	7	non-canonical
21733	21777	False	11	non-canonical
22375	28265	True	27	N
23547	23577	True	1	non-canonical
23547	23577	False	1	non-canonical
25390	29089	True	3	non-canonical
26040	28261	True	1	N
26271	29440	True	12	non-canonical
26478	28266	True	5	N
26478	27894	True	3	non-canonical
26567	26597	True	3	non-canonical
26632	28158	True	2	non-canonical
26774	26811	True	73	non-canonical
26774	26811	False	73	non-canonical
26780	26817	True	53	non-canonical
26780	26817	False	43	non-canonical
27260	27286	True	173	non-canonical
27260	27286	False	136	non-canonical
27259	27285	False	2	non-canonical
27257	27283	False	1	non-canonical
27345	28269	True	3	N
28515	28702	True	5	non-canonical
28515	28702	False	9	non-canonical
28518	28570	True	223	non-canonical
28517	28569	True	5	non-canonical
28519	28571	False	51478	non-canonical
28518	28570	False	264	non-canonical
28517	28569	False	5	non-canonical
28524	28576	False	65	non-canonical
28524	28576	True	65	non-canonical
28525	28577	False	2	non-canonical
28525	28577	True	3	non-canonical
28529	28716	True	7	non-canonical
28529	28716	False	1	non-canonical
29059	29087	True	153	non-canonical
29061	29089	True	18977	non-canonical
29061	29089	False	19033	non-canonical
29059	29087	False	160	non-canonical
29064	29092	False	34	non-canonical
29064	29092	True	29	non-canonical
29065	29093	True	1	non-canonical
29065	29093	False	1	non-canonical
29705	29791	True	31	non-canonical
29705	29791	False	6896	non-canonical
29704	29790	False	31	non-canonical
29707	29793	False	12	non-canonical
29703	29789	False	1	non-canonical
