5prime	3prime	strand	count	sgRNA_ref
62	28102	True	432775	non-canonical
60	26342	True	38255	non-canonical
65	26912	True	9498	non-canonical
62	28102	False	75943	non-canonical
63	28104	False	20	non-canonical
61	25255	True	26922	non-canonical
63	29227	True	110	non-canonical
65	26912	False	1573	non-canonical
61	28101	True	1711	non-canonical
61	21481	True	14293	non-canonical
60	27767	False	2269	non-canonical
70	25721	False	2	non-canonical
65	26108	True	6880	non-canonical
61	25255	False	2782	non-canonical
62	28098	True	389	non-canonical
63	27264	True	33147	non-canonical
63	29227	False	4	non-canonical
60	26342	False	2035	non-canonical
60	28102	True	9	non-canonical
66	28851	True	37	non-canonical
60	27767	True	8951	non-canonical
70	25721	True	3	non-canonical
64	26350	True	664	non-canonical
60	26369	True	251	non-canonical
64	26350	False	23	non-canonical
62	27262	True	2489	non-canonical
63	28768	True	2	non-canonical
64	28960	True	106	non-canonical
70	28111	False	32	non-canonical
65	29014	False	5	non-canonical
28119	28953	True	5	non-canonical
65	25672	True	120	non-canonical
28118	29108	True	40	non-canonical
65	27749	True	51	non-canonical
62	28098	False	26	non-canonical
70	28111	True	197	non-canonical
65	27749	False	7	non-canonical
65	23582	True	13	non-canonical
63	27264	False	3610	non-canonical
70	27355	True	79	non-canonical
37	21623	True	1	non-canonical
64	28103	True	99	non-canonical
62	27263	True	537	non-canonical
70	28368	True	1	non-canonical
61	28101	False	270	non-canonical
67	24190	True	2	non-canonical
65	21865	True	69	non-canonical
62	27262	False	312	non-canonical
64	26915	True	175	non-canonical
60	26511	True	27	non-canonical
61	21481	False	1933	non-canonical
26366	27142	True	15	non-canonical
50	28609	True	1	non-canonical
57	28098	True	1	non-canonical
64	25675	True	7	non-canonical
63	26797	True	81	non-canonical
72	26355	True	4	non-canonical
67	24190	False	1	non-canonical
64	28108	True	21	non-canonical
70	27202	True	35	non-canonical
28125	28555	False	6	non-canonical
59	28100	True	4	non-canonical
67	27274	True	1	non-canonical
64	28960	False	8	non-canonical
64	29002	True	110	non-canonical
67	29005	True	4	non-canonical
60	28100	True	63	non-canonical
72	26351	True	30	non-canonical
65	29014	True	30	non-canonical
62	27263	False	61	non-canonical
66	24189	True	9	non-canonical
68	29513	True	4	non-canonical
70	28246	True	2	non-canonical
65	15798	True	2	non-canonical
65	28083	True	45	non-canonical
26130	26155	True	1113	non-canonical
65	15707	True	38	non-canonical
63	28081	True	44	non-canonical
28120	29005	True	2	non-canonical
65	5939	True	3	non-canonical
65	29447	True	89	non-canonical
70	27039	True	26	non-canonical
61	29224	True	38	non-canonical
65	19500	True	14	non-canonical
59	26341	True	42	non-canonical
65	24772	True	2	non-canonical
64	22169	True	2	non-canonical
64	21483	True	6	non-canonical
70	27272	True	12	non-canonical
63	27265	True	9	non-canonical
26368	28122	True	6	non-canonical
61	27362	True	166	non-canonical
59	27560	True	6	non-canonical
49	29517	True	1	non-canonical
57	28097	True	45	non-canonical
70	14222	True	1	non-canonical
71	28113	True	75	non-canonical
71	20937	True	2	non-canonical
64	28926	True	7	non-canonical
72	28112	True	31	non-canonical
71	27706	True	3	non-canonical
78	29296	True	2	non-canonical
63	28852	True	8	non-canonical
28121	28824	True	22	non-canonical
63	28104	True	83	non-canonical
62	28103	True	2	non-canonical
28127	28557	True	23	non-canonical
64	27644	True	33	non-canonical
63	25258	True	7	non-canonical
26361	27652	True	9	non-canonical
28125	28555	True	14	non-canonical
66	13355	True	3	non-canonical
28120	28954	True	10	non-canonical
64	26161	True	21	non-canonical
64	28497	True	5	non-canonical
65	21865	False	13	non-canonical
78	29296	False	1	non-canonical
61	27262	True	14	non-canonical
69	29452	True	13	non-canonical
64	29529	True	3	non-canonical
62	27195	True	15	non-canonical
63	26106	True	1	non-canonical
53	21469	True	2	non-canonical
21481	28102	True	2	non-canonical
59	21479	True	64	non-canonical
64	28138	True	1	non-canonical
65	27236	True	79	non-canonical
28119	28822	True	8	non-canonical
69	27186	True	2	non-canonical
79	26357	True	1	non-canonical
63	26737	True	63	non-canonical
65	26108	False	1205	non-canonical
28119	28822	False	1	non-canonical
55	28096	True	3	non-canonical
28123	29141	True	11	non-canonical
60	26369	False	24	non-canonical
28119	29309	True	4	non-canonical
60	27850	True	1	non-canonical
64	25621	True	3	non-canonical
60	28884	True	11	non-canonical
71	27704	True	2	non-canonical
70	29211	True	1	non-canonical
