5prime	3prime	strand	count	sgRNA_ref
61	27883	True	7205	8
61	28249	True	13184	N
67	28261	True	38221	N
64	21552	True	4	S
61	27378	True	259	7a
61	28261	True	39265	N
68	28262	True	44	N
66	28260	True	163	N
65	28259	True	40	N
59	27881	True	31	8
60	28260	True	189	N
66	27754	True	1407	7b
55	28249	True	13212	N
61	27037	True	155	6
55	27876	True	1171	8
54	28248	True	61	N
59	28247	True	67	N
61	26464	True	22	M
51	15146	True	2	non-canonical
15157	28257	True	3	N
64	27752	True	5	7b
61	26234	True	33	E
63	28263	True	2	N
62	28262	True	59	N
56	28250	True	18	N
62	27884	True	7	8
62	25378	True	12	3a
59	28259	True	2	N
55	9579	True	1	non-canonical
9590	28261	True	3	N
63	28251	True	15	N
54	27875	True	5	8
56	27877	True	2	8
58	28258	True	2	N
60	27377	True	2	7a
64	28264	True	1	N
69	27757	True	1	non-canonical
58	28246	True	1	N
62	27379	True	1	7a
60	27036	True	1	6
58	26231	True	1	E
67	28261	False	1	N
2167	28261	True	1	N
28267	28770	True	27	non-canonical
3371	29091	True	1	non-canonical
9744	28269	True	1	N
10816	28249	True	1	N
10846	28261	True	4	N
12061	28265	True	1	N
14148	28261	True	2	N
14176	29572	True	10	non-canonical
14469	28255	True	1	N
14874	28249	True	1	N
18108	28617	True	1	non-canonical
18165	28269	True	2	N
18354	28498	True	11	non-canonical
28519	28571	True	20797	non-canonical
20085	27990	True	4	non-canonical
21313	28269	True	14	N
22375	28265	True	15	N
22640	28059	True	1	non-canonical
26271	29440	True	13	non-canonical
26478	27894	True	1	non-canonical
26567	26597	False	8	non-canonical
26567	26597	True	14	non-canonical
26774	26811	True	13	non-canonical
26774	26811	False	10	non-canonical
26780	26817	True	5	non-canonical
26780	26817	False	2	non-canonical
27110	29338	True	1	non-canonical
27260	27286	False	5	non-canonical
27260	27286	True	8	non-canonical
27399	27900	True	2	non-canonical
28518	28570	True	92	non-canonical
28519	28571	False	20916	non-canonical
28518	28570	False	89	non-canonical
28524	28576	False	34	non-canonical
28524	28576	True	24	non-canonical
28517	28569	False	1	non-canonical
29059	29087	True	170	non-canonical
29061	29089	True	22812	non-canonical
29061	29089	False	22805	non-canonical
29059	29087	False	147	non-canonical
29064	29092	True	22	non-canonical
29064	29092	False	26	non-canonical
29063	29534	False	1	non-canonical
29704	29790	False	33	non-canonical
29705	29791	True	37	non-canonical
29705	29791	False	6839	non-canonical
29707	29793	False	5	non-canonical
