5prime	3prime	strand	count	sgRNA_ref
61	27883	True	7157	8
61	28249	True	13174	N
59	28247	True	64	N
63	28251	True	13	N
61	27378	True	229	7a
67	28261	True	38153	N
61	28261	True	39549	N
60	28260	True	211	N
62	28262	True	60	N
66	27754	True	1489	7b
61	27037	True	148	6
55	28249	True	13284	N
56	28250	True	16	N
55	27876	True	1257	8
66	28260	True	171	N
59	27881	True	42	8
61	26464	True	26	M
64	27752	True	11	7b
54	28248	True	66	N
59	28259	True	5	N
61	26234	True	30	E
68	28262	True	40	N
65	28259	True	1	N
52	28246	True	1	N
60	27377	True	1	7a
54	27875	True	8	8
56	27877	True	3	8
62	27884	True	10	8
62	4754	True	1	non-canonical
4765	28268	True	1	N
62	25378	True	11	3a
53	830	True	2	non-canonical
841	28265	True	21	N
53	79	True	1	non-canonical
90	28265	True	1	N
58	6889	True	1	non-canonical
6901	28265	True	3	N
27802	27893	True	1	8
55	21549	True	2	S
58	27880	True	1	8
64	21552	True	2	S
60	27036	True	1	6
61	28261	False	1	N
66	27754	False	1	7b
2167	28261	True	1	N
4998	28997	True	2	non-canonical
29061	29089	True	22722	non-canonical
8437	28268	True	2	N
10846	28261	True	5	N
14176	29572	True	11	non-canonical
17972	28285	True	1	non-canonical
17979	28261	True	1	N
18354	28498	True	12	non-canonical
28519	28571	True	20682	non-canonical
20085	27990	True	2	non-canonical
22375	28265	True	12	N
23757	28571	True	1	non-canonical
24651	28279	True	14	non-canonical
25319	28261	True	1	N
26271	29440	True	23	non-canonical
26478	28266	True	6	N
26567	26597	True	12	non-canonical
26567	26597	False	9	non-canonical
26565	26595	False	1	non-canonical
26565	26595	True	1	non-canonical
26774	26811	True	11	non-canonical
26774	26811	False	6	non-canonical
26780	26817	True	3	non-canonical
26780	26817	False	2	non-canonical
27260	27286	True	8	non-canonical
27260	27286	False	8	non-canonical
28519	28571	False	20992	non-canonical
28518	28570	True	108	non-canonical
28518	28570	False	102	non-canonical
28524	28576	True	29	non-canonical
28524	28576	False	28	non-canonical
28517	28569	False	1	non-canonical
28822	29420	True	1	non-canonical
29059	29087	True	121	non-canonical
29061	29089	False	23035	non-canonical
29059	29087	False	142	non-canonical
29064	29092	False	30	non-canonical
29064	29092	True	28	non-canonical
29081	29406	False	22	non-canonical
29288	29863	False	17	non-canonical
29705	29791	True	28	non-canonical
29705	29791	False	6753	non-canonical
29704	29790	False	30	non-canonical
29707	29793	False	10	non-canonical
