5prime	3prime	strand	count	sgRNA_ref
61	28249	True	7154	N
61	27378	True	1311	7a
67	28261	True	70313	N
61	27883	True	6156	8
66	28260	True	300	N
61	28261	True	14559	N
68	28262	True	92	N
60	28260	True	73	N
55	27876	True	1741	8
54	27875	True	9	8
55	28249	True	11459	N
56	28250	True	12	N
66	27754	True	1509	7b
61	27037	True	591	6
61	26464	True	162	M
59	27881	True	34	8
59	28247	True	33	N
61	22496	True	2	non-canonical
61	26234	True	56	E
64	27752	True	15	7b
62	25378	True	40	3a
54	28248	True	48	N
62	28262	True	20	N
64	21552	True	13	S
55	21549	True	16	S
60	27377	True	9	7a
62	27038	True	1	6
56	27877	True	1	8
69	27757	True	2	non-canonical
65	28259	True	8	N
63	28251	True	14	N
57	13665	True	1	non-canonical
13676	27757	True	2	non-canonical
70	28264	True	1	N
62	27884	True	10	8
59	28259	True	1	N
64	28258	True	2	N
52	1164	True	1	non-canonical
1176	27887	True	1	8
62	2558	True	1	non-canonical
2569	28268	True	5	N
63	28257	True	1	N
62	21301	True	1	non-canonical
21313	28269	True	15	N
67	28261	False	4	N
7084	28261	True	1	N
10430	28261	True	5	N
10846	28249	True	3	N
12911	27883	True	1	8
27894	28267	True	1	N
14176	29572	True	8	non-canonical
14469	28255	True	3	N
15157	28257	True	2	N
18147	27933	True	2	non-canonical
18354	28498	True	9	non-canonical
28519	28571	True	775	non-canonical
18973	27883	True	1	8
20085	27990	True	3	non-canonical
20912	28253	True	2	N
21203	28265	True	1	N
21733	21777	False	18	non-canonical
21733	21777	True	13	non-canonical
22375	28265	True	32	N
23547	23577	True	3	non-canonical
23547	23577	False	2	non-canonical
26271	29440	True	12	non-canonical
26478	27894	True	3	non-canonical
26567	26597	True	67	non-canonical
26563	26593	True	1	non-canonical
26567	26597	False	19	non-canonical
26565	26595	True	1	non-canonical
26774	26811	False	86	non-canonical
26774	26811	True	73	non-canonical
26780	26817	True	10	non-canonical
26780	26817	False	12	non-canonical
27260	27286	True	9	non-canonical
27260	27286	False	3	non-canonical
27635	28248	False	2	N
28519	28571	False	703	non-canonical
28518	28570	True	4	non-canonical
28524	28576	True	2	non-canonical
28524	28576	False	1	non-canonical
28518	28570	False	1	non-canonical
28730	28751	True	17	non-canonical
28730	28751	False	16	non-canonical
29061	29089	True	3677	non-canonical
29059	29087	True	23	non-canonical
29061	29089	False	3741	non-canonical
29059	29087	False	23	non-canonical
29064	29092	True	2	non-canonical
29064	29092	False	8	non-canonical
29065	29093	True	1	non-canonical
29101	29427	True	1	non-canonical
29705	29791	False	813	non-canonical
29705	29791	True	4	non-canonical
29704	29790	False	3	non-canonical
