5prime	3prime	strand	count	sgRNA_ref
61	27883	True	6307	8
61	28249	True	7150	N
59	28247	True	35	N
62	27884	True	8	8
61	27378	True	1258	7a
61	26464	True	149	M
67	28261	True	69913	N
66	28260	True	353	N
65	2561	True	174	non-canonical
2573	28272	True	96	N
59	27881	True	30	8
68	28262	True	89	N
61	28261	True	14654	N
62	28262	True	25	N
55	27876	True	1831	8
56	27877	True	2	8
54	27875	True	4	8
55	28249	True	11318	N
2569	28268	True	95	N
54	28248	True	57	N
61	26234	True	50	E
66	27754	True	1468	7b
61	27037	True	579	6
64	21552	True	12	S
60	28260	True	58	N
69	27757	True	3	non-canonical
56	28250	True	15	N
62	25378	True	50	3a
55	21549	True	23	S
64	27752	True	8	7b
63	28251	True	8	N
61	22496	True	5	non-canonical
62	2558	True	2	non-canonical
66	28254	True	1	N
62	27038	True	1	6
65	28259	True	5	N
60	27036	True	3	6
60	27377	True	8	7a
58	22363	True	1	non-canonical
22375	28265	True	42	N
53	28247	True	1	N
58	26231	True	1	E
56	28261	True	1	N
62	26235	True	1	E
62	27379	True	2	7a
61	27883	False	1	8
67	28261	False	2	N
8158	28261	True	1	N
9487	29338	True	1	non-canonical
9664	28261	True	1	N
10846	28249	True	1	N
12911	28261	True	1	N
14176	29572	True	14	non-canonical
17025	28261	True	2	N
18354	28498	True	15	non-canonical
20085	27990	True	2	non-canonical
20889	28289	True	1	non-canonical
21733	21777	False	17	non-canonical
21733	21777	True	16	non-canonical
22271	28506	True	1	non-canonical
22463	28271	True	1	N
22640	28059	True	1	non-canonical
22738	28261	True	1	N
23547	23577	True	1	non-canonical
23547	23577	False	1	non-canonical
26271	29440	True	13	non-canonical
26567	26597	True	47	non-canonical
26567	26597	False	31	non-canonical
26565	26595	True	1	non-canonical
26569	29386	True	1	non-canonical
26774	26811	True	59	non-canonical
26774	26811	False	50	non-canonical
26780	26817	False	24	non-canonical
26780	26817	True	11	non-canonical
26775	26812	False	1	non-canonical
27260	27286	True	2	non-canonical
27260	27286	False	7	non-canonical
28519	28571	True	718	non-canonical
28519	28571	False	751	non-canonical
28524	28576	False	4	non-canonical
28518	28570	False	4	non-canonical
28518	28570	True	1	non-canonical
29061	29089	True	3693	non-canonical
29061	29089	False	3617	non-canonical
29059	29087	False	25	non-canonical
29059	29087	True	22	non-canonical
29064	29092	False	6	non-canonical
29064	29092	True	8	non-canonical
29016	29071	True	14	non-canonical
29016	29071	False	10	non-canonical
29705	29791	False	815	non-canonical
29705	29791	True	1	non-canonical
