5prime	3prime	strand	count	sgRNA_ref
61	27883	True	6215	8
61	28249	True	7107	N
64	21552	True	10	S
61	27378	True	1249	7a
61	26464	True	138	M
67	28261	True	70144	N
59	28247	True	27	N
66	28260	True	349	N
61	28261	True	14747	N
60	28260	True	81	N
55	27876	True	1774	8
55	28249	True	11253	N
54	28248	True	65	N
58	26231	True	1	E
66	27754	True	1504	7b
61	26234	True	38	E
61	27037	True	575	6
55	21549	True	10	S
60	27377	True	8	7a
65	28259	True	7	N
59	27881	True	28	8
64	28258	True	2	N
62	27884	True	13	8
62	25378	True	52	3a
68	28262	True	91	N
54	27875	True	7	8
62	28262	True	19	N
59	28259	True	4	N
61	22496	True	3	non-canonical
53	28247	True	1	N
63	28251	True	4	N
58	28258	True	2	N
64	27752	True	16	7b
56	28250	True	13	N
60	27036	True	6	6
56	27877	True	1	8
64	23360	True	1	non-canonical
23371	28270	True	1	N
58	28246	True	1	N
71	28265	True	1	N
58	27880	True	1	8
69	27757	True	1	non-canonical
67	28261	False	1	N
273	28367	True	3	non-canonical
8158	28261	True	1	N
14176	29572	True	12	non-canonical
17694	28258	True	5	N
18354	28498	True	7	non-canonical
20085	27990	True	3	non-canonical
21733	21777	False	15	non-canonical
21733	21777	True	22	non-canonical
22375	28265	True	32	N
23547	23577	True	1	non-canonical
23547	23577	False	1	non-canonical
24862	29191	True	1	non-canonical
26271	29440	True	16	non-canonical
26478	28266	True	7	N
26565	26595	True	2	non-canonical
26567	26597	False	24	non-canonical
26567	26597	True	52	non-canonical
26563	26593	False	1	non-canonical
26569	26599	True	1	non-canonical
26625	28254	True	2	N
26774	26811	False	68	non-canonical
26774	26811	True	64	non-canonical
26780	26817	False	23	non-canonical
26780	26817	True	19	non-canonical
26775	26812	False	1	non-canonical
27260	27286	False	5	non-canonical
27260	27286	True	1	non-canonical
28519	28571	True	773	non-canonical
28519	28571	False	699	non-canonical
28518	28570	True	3	non-canonical
28518	28570	False	1	non-canonical
29059	29087	True	23	non-canonical
29061	29089	True	3696	non-canonical
29061	29089	False	3664	non-canonical
29064	29092	True	2	non-canonical
29064	29092	False	5	non-canonical
29059	29087	False	17	non-canonical
29705	29791	False	895	non-canonical
29705	29791	True	6	non-canonical
29704	29790	False	3	non-canonical
29707	29793	False	1	non-canonical
