>path_11
1	69593
27	26
29	1699951
31	1
33	426005
39	2514
58	1
59	366199
62	239111
>path_8
21	14758
29	1699951
31	1
33	426005
41	583
59	366199
62	239111
>path_6
0	6651
19	76434
23	47
24	38
26	59
28	6008
29	1699951
30	478
31	1
33	426005
34	262
35	812
38	98
55	1
56	1
59	366199
62	239111
>path_7
2	7361
24	38
26	59
28	6008
29	1699951
30	478
31	1
33	426005
35	812
36	156
38	98
56	1
59	366199
62	239111
>path_2
20	11738
28	6008
29	1699951
30	478
33	426005
35	812
38	98
42	237
59	366199
62	239111
>path_9
14	1557
15	7756
17	111
18	813
19	76434
23	47
24	38
26	59
27	26
28	6008
29	1699951
30	478
31	1
32	2
33	426005
34	262
35	812
38	98
40	1
55	1
56	1
58	1
59	366199
62	239111
>path_1
16	1990
18	813
19	76434
28	6008
29	1699951
30	478
33	426005
34	262
35	812
38	98
59	366199
62	239111
>path_197
12	1347
13	14569
15	7756
18	813
19	76434
23	47
24	38
26	59
28	6008
29	1699951
30	478
31	1
33	426005
34	262
35	812
38	98
55	1
56	1
60	6056
62	239111
>path_196
10	624
11	5347
13	14569
15	7756
18	813
19	76434
23	47
24	38
26	59
28	6008
29	1699951
30	478
31	1
33	426005
34	262
35	812
38	98
55	1
56	1
60	6056
62	239111
>path_24
4	18427
6	2029
7	926
9	1
11	5347
13	14569
15	7756
17	111
18	813
19	76434
23	47
24	38
25	176
26	59
27	26
28	6008
29	1699951
30	478
31	1
33	426005
34	262
35	812
37	2830
38	98
40	1
43	6
55	1
56	1
58	1
59	366199
61	57
62	239111
63	1386
>path_386
20	11738
28	6008
29	1699951
30	478
33	426005
35	812
38	98
42	237
59	366199
64	464
>path_195
5	162
6	2029
7	926
11	5347
13	14569
15	7756
18	813
19	76434
23	47
24	38
26	59
28	6008
29	1699951
30	478
31	1
33	426005
34	262
35	812
38	98
55	1
56	1
60	6056
62	239111
>path_0
3	612
4	18427
6	2029
7	926
9	1
11	5347
13	14569
15	7756
17	111
18	813
19	76434
23	47
24	38
26	59
27	26
28	6008
29	1699951
30	478
31	1
32	2
33	426005
34	262
35	812
37	2830
38	98
40	1
55	1
56	1
57	5
58	1
59	366199
61	57
62	239111
63	1386
>path_10
22	354
26	59
27	26
29	1699951
30	478
31	1
33	426005
38	98
54	4
56	1
58	1
59	366199
62	239111
>path_107
1	69593
27	26
29	1699951
31	1
45	2356
50	98
59	366199
62	239111
>path_97
16	1990
18	813
19	76434
28	6008
29	1699951
30	478
44	30
45	2356
48	4
49	14
59	366199
62	239111
>path_243
5	162
6	2029
8	93
11	5347
13	14569
15	7756
18	813
19	76434
23	47
24	38
26	59
28	6008
29	1699951
30	478
31	1
33	426005
34	262
35	812
38	98
55	1
56	1
60	6056
62	239111
>path_98
20	11738
28	6008
29	1699951
30	478
44	30
45	2356
48	4
52	11
59	366199
62	239111
>path_680
21	14758
29	1699951
31	1
45	2356
51	27
60	6056
64	464
>path_103
2	7361
24	38
26	59
28	6008
29	1699951
30	478
31	1
44	30
45	2356
46	5
48	4
59	366199
62	239111
