5prime	3prime	strand	count	sgRNA_ref
61	27883	True	6196	8
61	28249	True	7267	N
61	27378	True	1298	7a
61	26464	True	134	M
67	28261	True	70202	N
68	28262	True	80	N
66	28260	True	333	N
65	2561	True	84	non-canonical
2573	28272	True	93	N
61	28261	True	14710	N
56	27877	True	3	8
55	27876	True	1796	8
55	28249	True	11121	N
66	27754	True	1419	7b
61	27037	True	563	6
60	28260	True	63	N
62	27884	True	4	8
59	28247	True	38	N
60	27377	True	2	7a
55	21549	True	11	S
54	28248	True	54	N
64	27752	True	7	7b
61	26234	True	46	E
62	28262	True	22	N
54	27875	True	7	8
59	27881	True	22	8
59	7169	True	1	non-canonical
7180	28265	True	1	N
64	21552	True	8	S
62	25378	True	33	3a
60	26463	True	2	M
63	28251	True	9	N
49	10835	True	25	non-canonical
10846	28249	True	8	N
56	28250	True	14	N
10846	28261	True	13	N
46	14848	True	1	non-canonical
14859	28252	True	3	N
53	27874	True	1	8
10846	27378	True	5	7a
65	28259	True	6	N
64	28258	True	1	N
58	27880	True	1	8
61	22496	True	1	non-canonical
55	28249	False	1	N
62	27379	True	1	7a
67	28261	False	1	N
8158	28261	True	2	N
10430	28261	True	2	N
12327	28268	True	7	N
12796	13304	False	1	non-canonical
14176	29572	True	11	non-canonical
18354	28498	True	7	non-canonical
18979	28261	True	1	N
20085	27990	True	2	non-canonical
21313	28269	True	9	N
21733	21777	True	16	non-canonical
21733	21777	False	18	non-canonical
22375	28265	True	32	N
22640	28059	True	1	non-canonical
23547	23577	True	2	non-canonical
26271	29440	True	15	non-canonical
26478	27894	True	1	non-canonical
26567	26597	False	23	non-canonical
26567	26597	True	58	non-canonical
26774	26811	False	67	non-canonical
26774	26811	True	56	non-canonical
26780	26817	True	25	non-canonical
26780	26817	False	19	non-canonical
26773	26810	False	1	non-canonical
27062	29171	True	10	non-canonical
27086	28803	True	4	non-canonical
27260	27286	True	1	non-canonical
27260	27286	False	4	non-canonical
28519	28571	True	733	non-canonical
28519	28571	False	735	non-canonical
28518	28570	False	5	non-canonical
28518	28570	True	5	non-canonical
28642	28763	False	1	non-canonical
29059	29087	True	27	non-canonical
29061	29089	True	3673	non-canonical
29061	29089	False	3656	non-canonical
29064	29092	False	8	non-canonical
29064	29092	True	6	non-canonical
29059	29087	False	16	non-canonical
29705	29791	True	8	non-canonical
29705	29791	False	869	non-canonical
29704	29790	False	5	non-canonical
