5prime	3prime	strand	count	sgRNA_ref
61	27883	True	7097	8
59	27881	True	29	8
61	28249	True	17192	N
59	28247	True	76	N
61	27378	True	914	7a
61	26464	True	294	M
62	25378	True	56	3a
63	28251	True	18	N
67	28261	True	34086	N
66	28260	True	150	N
61	28261	True	29262	N
66	27754	True	5295	7b
55	27876	True	5939	8
55	28249	True	7920	N
56	28250	True	11	N
54	28248	True	35	N
64	28264	True	1	N
68	28262	True	47	N
60	28260	True	131	N
61	26234	True	157	E
61	27037	True	721	6
64	21552	True	24	S
62	28262	True	50	N
64	27752	True	37	7b
55	21549	True	11	S
54	27875	True	30	8
62	27884	True	9	8
65	28259	True	43	N
60	26463	True	1	M
61	22496	True	3	non-canonical
51	20899	True	2	non-canonical
20912	28253	True	5	N
60	27377	True	8	7a
58	14710	True	1	non-canonical
14722	27893	True	1	8
57	25373	True	1	3a
58	28258	True	1	N
58	27880	True	1	8
60	27036	True	5	6
66	22495	True	4	non-canonical
58	28246	True	1	N
59	28259	True	1	N
62	2558	True	1	non-canonical
2569	28268	True	6	N
61	15773	True	1	non-canonical
56	27877	True	6	8
69	27757	True	5	non-canonical
66	28254	True	1	N
67	21052	True	3	non-canonical
64	28258	True	1	N
58	26231	True	1	E
63	26466	True	1	M
67	28261	False	1	N
9537	9569	True	1	non-canonical
9859	27754	True	1	7b
10846	28249	True	1	N
10846	28261	True	4	N
10991	28268	True	6	N
12239	28261	True	1	N
12911	28261	True	1	N
14148	28261	True	2	N
14176	29572	True	7	non-canonical
14469	28255	True	1	N
15993	29434	True	13	non-canonical
17025	28261	True	2	N
17526	29409	True	3	non-canonical
18354	28498	True	14	non-canonical
28519	28571	True	9149	non-canonical
18885	27885	True	1	8
18971	29044	True	1	non-canonical
18973	28249	True	1	N
21733	21777	True	3	non-canonical
21733	21777	False	8	non-canonical
22640	28059	True	1	non-canonical
23547	23577	False	7	non-canonical
23547	23577	True	9	non-canonical
25713	28263	True	1	N
25953	28364	True	1	non-canonical
26271	29440	True	11	non-canonical
26478	27894	True	4	non-canonical
26567	26597	False	8	non-canonical
26567	26597	True	13	non-canonical
26780	26817	True	74	non-canonical
26780	26817	False	69	non-canonical
26774	26811	True	8	non-canonical
26774	26811	False	5	non-canonical
26778	26815	True	1	non-canonical
27260	27286	True	150	non-canonical
27260	27286	False	165	non-canonical
28518	28570	True	43	non-canonical
28519	28571	False	8972	non-canonical
28518	28570	False	45	non-canonical
28524	28576	False	13	non-canonical
28524	28576	True	9	non-canonical
28529	28716	True	11	non-canonical
28715	28736	True	24	non-canonical
28715	28736	False	27	non-canonical
28730	28751	True	15	non-canonical
28730	28751	False	11	non-canonical
29061	29089	True	240	non-canonical
29061	29089	False	205	non-canonical
29059	29087	False	1	non-canonical
29064	29092	True	2	non-canonical
29101	29427	True	3	non-canonical
29705	29791	True	24	non-canonical
29705	29791	False	7227	non-canonical
29704	29790	False	33	non-canonical
29707	29793	False	11	non-canonical
