5prime	3prime	strand	count	sgRNA_ref
61	27883	True	6899	8
61	28249	True	17418	N
61	27378	True	900	7a
61	26464	True	288	M
62	25378	True	54	3a
67	28261	True	34237	N
66	28260	True	161	N
61	28261	True	29322	N
66	27754	True	5324	7b
55	28249	True	8037	N
55	27876	True	6049	8
64	21552	True	30	S
61	26234	True	166	E
61	27037	True	759	6
58	28246	True	2	N
68	28262	True	34	N
62	28262	True	32	N
60	28260	True	123	N
62	26235	True	1	E
59	27881	True	33	8
59	28247	True	65	N
56	27877	True	7	8
56	28250	True	9	N
64	27752	True	31	7b
54	27875	True	32	8
62	27884	True	6	8
63	28251	True	17	N
59	28259	True	5	N
54	28248	True	34	N
55	21549	True	18	S
57	27879	True	1	8
60	27036	True	3	6
60	27377	True	9	7a
53	79	True	1	non-canonical
90	28265	True	2	N
65	28259	True	8	N
69	27757	True	8	non-canonical
64	18175	True	1	non-canonical
18187	27765	True	1	non-canonical
55	10176	True	1	non-canonical
10187	28261	True	2	N
63	453	True	1	non-canonical
464	28269	True	1	N
66	22495	True	4	non-canonical
61	15773	True	1	non-canonical
61	22496	True	5	non-canonical
67	21052	True	2	non-canonical
61	28261	False	2	N
62	27038	True	1	6
59	4583	True	1	non-canonical
4594	27893	True	1	8
61	10176	True	1	non-canonical
61	28249	False	1	N
67	28261	False	2	N
3602	27890	True	1	8
9537	9569	False	2	non-canonical
9537	9569	True	1	non-canonical
10430	28261	True	1	N
10846	28261	True	3	N
10846	28249	True	3	N
14148	28261	True	1	N
14176	29572	True	15	non-canonical
14533	27887	True	1	8
14874	28249	True	2	N
18147	27933	True	2	non-canonical
18165	28269	True	1	N
18354	28498	True	9	non-canonical
28519	28571	True	8963	non-canonical
18821	27383	True	1	7a
19476	28681	True	1	non-canonical
19527	27046	True	1	6
21733	21777	True	6	non-canonical
21733	21777	False	4	non-canonical
22255	29202	True	1	non-canonical
22375	28265	True	20	N
22640	28059	True	1	non-canonical
23547	23577	True	8	non-canonical
23547	23577	False	6	non-canonical
26271	29440	True	9	non-canonical
26478	27894	True	4	non-canonical
26478	28266	True	6	N
26567	26597	False	4	non-canonical
26567	26597	True	3	non-canonical
26774	26811	True	5	non-canonical
26780	26817	True	80	non-canonical
26780	26817	False	89	non-canonical
26778	26815	True	2	non-canonical
26774	26811	False	4	non-canonical
26781	26818	True	1	non-canonical
27260	27286	True	152	non-canonical
27260	27286	False	162	non-canonical
27552	29171	True	1	non-canonical
27635	28248	False	1	N
27594	28948	True	9	non-canonical
28519	28571	False	9016	non-canonical
28518	28570	True	46	non-canonical
28518	28570	False	39	non-canonical
28524	28576	True	16	non-canonical
28524	28576	False	18	non-canonical
29061	29089	True	211	non-canonical
29061	29089	False	223	non-canonical
29059	29087	False	5	non-canonical
29059	29087	True	1	non-canonical
29705	29791	False	7057	non-canonical
29705	29791	True	21	non-canonical
29704	29790	False	27	non-canonical
29707	29793	False	5	non-canonical
