5prime	3prime	strand	count	sgRNA_ref
61	27883	True	7053	8
62	27884	True	10	8
61	28249	True	17190	N
59	28247	True	74	N
61	27378	True	989	7a
61	26464	True	287	M
62	25378	True	62	3a
67	28261	True	34180	N
66	28260	True	172	N
61	28261	True	29087	N
60	28260	True	132	N
66	27754	True	5233	7b
55	27876	True	5962	8
55	28249	True	7803	N
53	28247	True	1	N
61	27037	True	712	6
61	26234	True	156	E
64	27752	True	38	7b
59	27881	True	39	8
68	28262	True	44	N
59	3215	True	30	non-canonical
3226	28271	True	40	N
62	28262	True	41	N
64	28264	True	1	N
54	27875	True	27	8
54	28248	True	32	N
60	27036	True	5	6
65	28259	True	50	N
56	28250	True	9	N
64	21552	True	26	S
60	26463	True	2	M
60	27377	True	5	7a
55	21549	True	7	S
63	28251	True	28	N
61	15773	True	1	non-canonical
56	27877	True	6	8
51	14734	True	1	non-canonical
14745	28251	True	2	N
69	27757	True	3	non-canonical
56	26229	True	1	non-canonical
58	28246	True	1	N
66	22495	True	10	non-canonical
61	22496	True	2	non-canonical
53	26027	True	1	non-canonical
26040	28261	True	1	N
63	26466	True	1	M
59	28259	True	2	N
66	28254	True	1	N
64	28258	True	1	N
67	21052	True	1	non-canonical
61	28261	False	1	N
2167	28261	True	2	N
5146	29414	True	1	non-canonical
6901	28265	True	2	N
8158	28261	True	1	N
10430	28261	True	1	N
10846	28261	True	4	N
13676	27757	True	3	non-canonical
14176	29572	True	11	non-canonical
14469	28255	True	3	N
18147	27933	True	1	non-canonical
18354	28498	True	3	non-canonical
20553	28409	True	1	non-canonical
20912	28253	True	3	N
21197	29407	True	1	non-canonical
21733	21777	True	4	non-canonical
21733	21777	False	4	non-canonical
22271	28506	True	1	non-canonical
28519	28571	True	9116	non-canonical
22375	28265	True	11	N
22640	28059	True	1	non-canonical
23160	28613	True	2	non-canonical
23445	29548	True	1	10
23547	23577	False	9	non-canonical
23547	23577	True	8	non-canonical
24937	28985	True	1	non-canonical
25401	28249	True	1	N
25953	28364	True	1	non-canonical
26271	29440	True	13	non-canonical
26478	27894	True	2	non-canonical
26567	26597	True	4	non-canonical
26565	26595	True	1	non-canonical
26567	26597	False	2	non-canonical
26780	26817	True	73	non-canonical
26774	26811	True	6	non-canonical
26780	26817	False	65	non-canonical
26774	26811	False	4	non-canonical
27260	27286	True	163	non-canonical
27260	27286	False	163	non-canonical
27259	27285	False	2	non-canonical
28518	28570	False	60	non-canonical
28519	28571	False	8878	non-canonical
28524	28576	False	7	non-canonical
28524	28576	True	16	non-canonical
28518	28570	True	35	non-canonical
28517	28569	False	2	non-canonical
28517	28569	True	1	non-canonical
29061	29089	False	197	non-canonical
29061	29089	True	201	non-canonical
29059	29087	True	2	non-canonical
29059	29087	False	1	non-canonical
29064	29092	True	1	non-canonical
29705	29791	True	28	non-canonical
29705	29791	False	7048	non-canonical
29704	29790	False	30	non-canonical
29707	29793	False	11	non-canonical
