5prime	3prime	strand	count	sgRNA_ref
61	27883	True	3245	8
59	27881	True	10	8
61	28249	True	8189	N
61	27378	True	797	7a
61	26464	True	51	M
67	28261	True	55650	N
66	28260	True	243	N
61	28261	True	36795	N
59	28259	True	3	N
60	28260	True	185	N
59	28247	True	35	N
55	27876	True	2762	8
56	27877	True	9	8
55	28249	True	9217	N
62	27884	True	7	8
66	27754	True	804	7b
61	27037	True	289	6
49	10835	True	53	non-canonical
10846	28261	True	57	N
68	28262	True	70	N
54	27875	True	17	8
54	28248	True	53	N
63	28251	True	15	N
62	28262	True	29	N
62	25378	True	27	3a
65	28259	True	6	N
62	26235	True	1	E
56	28250	True	11	N
62	2558	True	1	non-canonical
2569	28268	True	5	N
55	21549	True	7	S
60	27377	True	5	7a
64	21552	True	11	S
70	28264	True	4	N
66	22495	True	3	non-canonical
69	27757	True	2	non-canonical
64	27752	True	4	7b
61	26234	True	15	E
67	21052	True	1	non-canonical
63	26466	True	1	M
52	26941	True	1	6
26953	28265	True	14	N
58	28258	True	1	N
62	27379	True	1	7a
62	27038	True	1	6
58	28246	True	1	N
67	28261	False	1	N
2167	28261	True	1	N
2662	29089	True	2	non-canonical
8158	28261	True	2	N
8437	28268	True	1	N
10430	28261	True	1	N
13076	28263	True	1	N
14176	29572	True	11	non-canonical
14934	28272	True	1	N
15458	28261	True	2	N
18147	27933	True	2	non-canonical
18354	28498	True	14	non-canonical
28519	28571	True	29787	non-canonical
20085	27990	True	1	non-canonical
20187	28997	True	1	non-canonical
21733	21777	True	6	non-canonical
21733	21777	False	5	non-canonical
22375	28265	True	19	N
23445	29548	True	1	10
23547	23577	False	7	non-canonical
23547	23577	True	5	non-canonical
23545	23575	True	1	non-canonical
25712	28262	True	7	N
26271	29440	True	9	non-canonical
26406	28261	True	1	N
26567	26597	True	11	non-canonical
26567	26597	False	2	non-canonical
26774	26811	True	21	non-canonical
26774	26811	False	18	non-canonical
26780	26817	True	2	non-canonical
26780	26817	False	3	non-canonical
27110	29338	True	1	non-canonical
27260	27286	True	9	non-canonical
27260	27286	False	10	non-canonical
27465	28602	True	1	non-canonical
28518	28570	False	155	non-canonical
28519	28571	False	29579	non-canonical
28518	28570	True	136	non-canonical
28524	28576	False	31	non-canonical
28524	28576	True	35	non-canonical
28517	28569	True	2	non-canonical
28517	28569	False	3	non-canonical
28525	28577	True	2	non-canonical
28642	29276	False	28	non-canonical
29003	29058	True	14	non-canonical
29003	29058	False	12	non-canonical
29059	29087	True	189	non-canonical
29061	29089	True	27165	non-canonical
29061	29089	False	26837	non-canonical
29059	29087	False	177	non-canonical
29064	29092	False	39	non-canonical
29064	29092	True	43	non-canonical
29065	29093	True	1	non-canonical
29065	29093	False	1	non-canonical
29704	29790	False	191	non-canonical
29705	29791	True	198	non-canonical
29705	29791	False	42273	non-canonical
29707	29793	False	57	non-canonical
29704	29790	True	1	non-canonical
29709	29795	False	1	non-canonical
29703	29789	False	2	non-canonical
